constructor,GP_name,constructor_home,const_relaiblity,active_const
Alpine F1 Team,Hungaroring,0,0.8977695167286246,1
Alpine F1 Team,Istanbul Park,0,0.8977695167286246,1
Alpine F1 Team,Jeddah Corniche Circuit,0,0.8977695167286246,1
Alpine F1 Team,Losail International Circuit,0,0.8977695167286246,1
Alpine F1 Team,Marina Bay Street Circuit,0,0.8977695167286246,1
Alpine F1 Team,Miami International Autodrome,0,0.8977695167286246,1
Alpine F1 Team,Nürburgring,0,0.8977695167286246,1
Alpine F1 Team,Red Bull Ring,0,0.8977695167286246,1
Alpine F1 Team,Sepang International Circuit,0,0.8977695167286246,1
Alpine F1 Team,Shanghai International Circuit,0,0.8977695167286246,1
Alpine F1 Team,Silverstone Circuit,0,0.8977695167286246,1
Alpine F1 Team,Sochi Autodrom,0,0.8977695167286246,1
Alpine F1 Team,Suzuka Circuit,0,0.8977695167286246,1
Alpine F1 Team,Yas Marina Circuit,0,0.8977695167286246,1
Aston Martin,Albert Park Grand Prix Circuit,0,0.9038817005545288,1
Aston Martin,Autodromo Enzo e Dino Ferrari,0,0.9038817005545288,1
Aston Martin,Autodromo Internazionale del Mugello,0,0.9038817005545288,1
Aston Martin,Autodromo Nazionale di Monza,0,0.9038817005545288,1
Aston Martin,Autódromo Hermanos Rodríguez,0,0.9038817005545288,1
Aston Martin,Autódromo Internacional do Algarve,0,0.9038817005545288,1
Aston Martin,Autódromo José Carlos Pace,0,0.9038817005545288,1
Aston Martin,Bahrain International Circuit,0,0.9038817005545288,1
Aston Martin,Baku City Circuit,0,0.9038817005545288,1
Aston Martin,Buddh International Circuit,1,0.9038817005545288,1
Aston Martin,Circuit Gilles Villeneuve,0,0.9038817005545288,1
Aston Martin,Circuit Park Zandvoort,0,0.9038817005545288,1
Aston Martin,Circuit Paul Ricard,0,0.9038817005545288,1
Aston Martin,Circuit de Barcelona-Catalunya,0,0.9038817005545288,1
Aston Martin,Circuit de Monaco,0,0.9038817005545288,1
Aston Martin,Circuit de Spa-Francorchamps,0,0.9038817005545288,1
Aston Martin,Circuit of the Americas,0,0.9038817005545288,1
Aston Martin,Hockenheimring,0,0.9038817005545288,1
Aston Martin,Hungaroring,0,0.9038817005545288,1
Aston Martin,Istanbul Park,0,0.9038817005545288,1
Aston Martin,Jeddah Corniche Circuit,0,0.9038817005545288,1
Aston Martin,Korean International Circuit,0,0.9038817005545288,1
Aston Martin,Losail International Circuit,0,0.9038817005545288,1
Aston Martin,Marina Bay Street Circuit,0,0.9038817005545288,1
Aston Martin,Miami International Autodrome,0,0.9038817005545288,1
Aston Martin,Nürburgring,0,0.9038817005545288,1
Aston Martin,Red Bull Ring,0,0.9038817005545288,1
Aston Martin,Sepang International Circuit,0,0.9038817005545288,1
Aston Martin,Shanghai International Circuit,0,0.9038817005545288,1
Aston Martin,Silverstone Circuit,0,0.9038817005545288,1
Aston Martin,Sochi Autodrom,0,0.9038817005545288,1
Aston Martin,Suzuka Circuit,0,0.9038817005545288,1
Aston Martin,Valencia Street Circuit,0,0.9038817005545288,1
Aston Martin,Yas Marina Circuit,0,0.9038817005545288,1
Ferrari,Albert Park Grand Prix Circuit,0,0.929889298892989,1
Ferrari,Autodromo Enzo e Dino Ferrari,1,0.929889298892989,1
Ferrari,Autodromo Internazionale del Mugello,1,0.929889298892989,1
Ferrari,Autodromo Nazionale di Monza,1,0.929889298892989,1
Ferrari,Autódromo Hermanos Rodríguez,0,0.929889298892989,1
Ferrari,Autódromo Internacional do Algarve,0,0.929889298892989,1
Ferrari,Autódromo José Carlos Pace,0,0.929889298892989,1
Ferrari,Bahrain International Circuit,0,0.929889298892989,1
Ferrari,Baku City Circuit,0,0.929889298892989,1
Ferrari,Buddh International Circuit,0,0.929889298892989,1
Ferrari,Circuit Gilles Villeneuve,0,0.929889298892989,1
Ferrari,Circuit Park Zandvoort,0,0.929889298892989,1
Ferrari,Circuit Paul Ricard,0,0.929889298892989,1
Ferrari,Circuit de Barcelona-Catalunya,0,0.929889298892989,1
Ferrari,Circuit de Monaco,0,0.929889298892989,1
Ferrari,Circuit de Spa-Francorchamps,0,0.929889298892989,1
Ferrari,Circuit of the Americas,0,0.929889298892989,1
Ferrari,Hockenheimring,0,0.929889298892989,1
Ferrari,Hungaroring,0,0.929889298892989,1
Ferrari,Istanbul Park,0,0.929889298892989,1
Ferrari,Jeddah Corniche Circuit,0,0.929889298892989,1
Ferrari,Korean International Circuit,0,0.929889298892989,1
Ferrari,Losail International Circuit,0,0.929889298892989,1
Ferrari,Marina Bay Street Circuit,0,0.929889298892989,1
Ferrari,Miami International Autodrome,0,0.929889298892989,1
Ferrari,Nürburgring,0,0.929889298892989,1
Ferrari,Red Bull Ring,0,0.929889298892989,1
